gluinoMass,tau,neutralinoMass,quarkDecay,n_signal,n_background,background_uncertainty,n_observed
1800,0.3,100,uds,10,1,0.1,1
1800,0.3,100,ttbar,10,1,0.1,1
1800,1,100,uds,10,1,0.1,1
1800,1,100,ttbar,10,1,0.1,1
1800,3,100,uds,10,1,0.1,1
1800,3,100,ttbar,10,1,0.1,1
1800,10,100,uds,10,1,0.1,1
1800,10,100,ttbar,10,1,0.1,1
1800,30,100,uds,10,1,0.1,1
1800,30,100,ttbar,10,1,0.1,1
1800,0.3,1700,uds,10,1,0.1,1
1800,0.3,1700,ttbar,10,1,0.1,1
1800,1,1700,uds,10,1,0.1,1
1800,1,1700,ttbar,10,1,0.1,1
1800,3,1700,uds,10,1,0.1,1
1800,3,1700,ttbar,10,1,0.1,1
1800,10,1700,uds,10,1,0.1,1
1800,10,1700,ttbar,10,1,0.1,1
1800,30,1700,uds,10,1,0.1,1
1800,30,1700,ttbar,10,1,0.1,1
2000,0.3,100,uds,10,1,0.1,1
2000,0.3,100,ttbar,10,1,0.1,1
2000,1,100,uds,10,1,0.1,1
2000,1,100,ttbar,10,1,0.1,1
2000,3,100,uds,10,1,0.1,1
2000,3,100,ttbar,10,1,0.1,1
2000,10,100,uds,10,1,0.1,1
2000,10,100,ttbar,10,1,0.1,1
2000,30,100,uds,10,1,0.1,1
2000,30,100,ttbar,10,1,0.1,1
2000,1,1900,uds,10,1,0.1,1
2000,1,1900,ttbar,10,1,0.1,1
2000,3,1900,uds,10,1,0.1,1
2000,3,1900,ttbar,10,1,0.1,1
2000,10,1900,uds,10,1,0.1,1
2000,10,1900,ttbar,10,1,0.1,1
2000,30,1900,uds,10,1,0.1,1
2000,30,1900,ttbar,10,1,0.1,1
2200,1,100,uds,10,1,0.1,1
2200,1,100,ttbar,10,1,0.1,1
2200,3,100,uds,10,1,0.1,1
2200,3,100,ttbar,10,1,0.1,1
2200,10,100,uds,10,1,0.1,1
2200,10,100,ttbar,10,1,0.1,1
2200,30,100,uds,10,1,0.1,1
2200,30,100,ttbar,10,1,0.1,1
2200,1,2100,uds,10,1,0.1,1
2200,1,2100,ttbar,10,1,0.1,1
2200,3,2100,uds,10,1,0.1,1
2200,3,2100,ttbar,10,1,0.1,1
2200,10,2100,uds,10,1,0.1,1
2200,10,2100,ttbar,10,1,0.1,1
2200,30,2100,uds,10,1,0.1,1
2200,30,2100,ttbar,10,1,0.1,1
2400,1,100,uds,10,1,0.1,1
2400,1,100,ttbar,10,1,0.1,1
2400,3,100,uds,10,1,0.1,1
2400,3,100,ttbar,10,1,0.1,1
2400,10,100,uds,10,1,0.1,1
2400,10,100,ttbar,10,1,0.1,1
2400,30,100,uds,10,1,0.1,1
2400,30,100,ttbar,10,1,0.1,1
2400,3,2300,uds,10,1,0.1,1
2400,3,2300,ttbar,10,1,0.1,1
2400,10,2300,uds,10,1,0.1,1
2400,10,2300,ttbar,10,1,0.1,1
2400,30,2300,uds,10,1,0.1,1
2400,30,2300,ttbar,10,1,0.1,1
2600,3,100,uds,10,1,0.1,1
2600,3,100,ttbar,10,1,0.1,1
2600,10,100,uds,10,1,0.1,1
2600,10,100,ttbar,10,1,0.1,1
2600,30,100,uds,10,1,0.1,1
2600,30,100,ttbar,10,1,0.1,1
2600,10,2500,uds,10,1,0.1,1
2600,10,2500,ttbar,10,1,0.1,1
2600,30,2500,uds,10,1,0.1,1
2600,30,2500,ttbar,10,1,0.1,1
2800,10,100,uds,10,1,0.1,1
2800,10,100,ttbar,10,1,0.1,1
2800,30,100,uds,10,1,0.1,1
2800,30,100,ttbar,10,1,0.1,1
